date,month,year,week,quarter,fiscal_year,fiscal_period,period_name,start_date,end_date,field_11_raw,field_12_raw,field_13_raw,field_14_raw,field_15_raw,field_16_raw,field_17
20220401,Apr 1,,,,,,,,,,,,,,,
20180401,Apr 1,,,,,,,,,,,,,,,
20200401,Apr 1,,,,,,,,,,,,,,,
20210401,Apr 1,,,,,,,,,,,,,,,
20190401,Apr 1,,,,,,,,,,,,,,,
20220402,Apr 2,,,,,,,,,,,,,,,
20210402,Apr 2,,,,,,,,,,,,,,,
20190402,Apr 2,,,,,,,,,,,,,,,
20200402,Apr 2,,,,,,,,,,,,,,,
20180402,Apr 2,,,,,,,,,,,,,,,
20210403,Apr 3,,,,,,,,,,,,,,,
20180403,Apr 3,,,,,,,,,,,,,,,
20200403,Apr 3,,,,,,,,,,,,,,,
20190403,Apr 3,,,,,,,,,,,,,,,
20220403,Apr 3,,,,,,,,,,,,,,,
20200404,Apr 4,,,,,,,,,,,,,,,
20220404,Apr 4,,,,,,,,,,,,,,,
20210404,Apr 4,,,,,,,,,,,,,,,
20190404,Apr 4,,,,,,,,,,,,,,,
20180404,Apr 4,,,,,,,,,,,,,,,
20210405,Apr 5,,,,,,,,,,,,,,,
20190405,Apr 5,,,,,,,,,,,,,,,
20180405,Apr 5,,,,,,,,,,,,,,,
20220405,Apr 5,,,,,,,,,,,,,,,
20200405,Apr 5,,,,,,,,,,,,,,,
20220406,Apr 6,,,,,,,,,,,,,,,
20180406,Apr 6,,,,,,,,,,,,,,,
20210406,Apr 6,,,,,,,,,,,,,,,
20190406,Apr 6,,,,,,,,,,,,,,,
20200406,Apr 6,,,,,,,,,,,,,,,
20200407,Apr 7,,,,,,,,,,,,,,,
20210407,Apr 7,,,,,,,,,,,,,,,
20180407,Apr 7,,,,,,,,,,,,,,,
20220407,Apr 7,,,,,,,,,,,,,,,
20190407,Apr 7,,,,,,,,,,,,,,,
20200408,Apr 8,,,,,,,,,,,,,,,
20180408,Apr 8,,,,,,,,,,,,,,,
20190408,Apr 8,,,,,,,,,,,,,,,
20210408,Apr 8,,,,,,,,,,,,,,,
20220408,Apr 8,,,,,,,,,,,,,,,
20190409,Apr 9,,,,,,,,,,,,,,,
20180409,Apr 9,,,,,,,,,,,,,,,
20220409,Apr 9,,,,,,,,,,,,,,,
20200409,Apr 9,,,,,,,,,,,,,,,
20210409,Apr 9,,,,,,,,,,,,,,,
20200801,Aug 1,,,,,,,,,,,,,,,
20210801,Aug 1,,,,,,,,,,,,,,,
20180801,Aug 1,,,,,,,,,,,,,,,
20190801,Aug 1,,,,,,,,,,,,,,,
20220801,Aug 1,,,,,,,,,,,,,,,
20210802,Aug 2,,,,,,,,,,,,,,,
20220802,Aug 2,,,,,,,,,,,,,,,
20200802,Aug 2,,,,,,,,,,,,,,,
20190802,Aug 2,,,,,,,,,,,,,,,
20180802,Aug 2,,,,,,,,,,,,,,,
20220803,Aug 3,,,,,,,,,,,,,,,
20180803,Aug 3,,,,,,,,,,,,,,,
20190803,Aug 3,,,,,,,,,,,,,,,
20210803,Aug 3,,,,,,,,,,,,,,,
20200803,Aug 3,,,,,,,,,,,,,,,
20180804,Aug 4,,,,,,,,,,,,,,,
20210804,Aug 4,,,,,,,,,,,,,,,
20200804,Aug 4,,,,,,,,,,,,,,,
20220804,Aug 4,,,,,,,,,,,,,,,
20190804,Aug 4,,,,,,,,,,,,,,,
20210805,Aug 5,,,,,,,,,,,,,,,
20200805,Aug 5,,,,,,,,,,,,,,,
