ret_id,location_name,location_type,location_sub_type,state,status
INV-880,In-Transit,IBIT,In-transit,IB,Inbound
INV-850,Store On Order,IBOO,On Order,IB,Inbound
INV-800,On Order,IBOO,On Order,IB,Inbound
INV-875,ASN,IBOO,On Order,IB,Inbound
INV-20,In Receiving,OHAV,Available,OH,On Hand
INV-900,Available,OHAV,Available,OH,On Hand
RET-93,ORIG RESOLVED / TRACER RESULTS,OHFA,Future Available,OH,On Hand
RET-94,TRACER VERIFIED STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-648,SOFT St Johns Town Center - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-92,TRACER VERIFIED DIRECT SHIP RETURN,OHFA,Future Available,OH,On Hand
RET-622,SOFT Hunt Valley - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-64,RECONDITIONING-SHOE & ACCESOR,OHFA,Future Available,OH,On Hand
RET-62,RECONDITIONING-HANGING,OHFA,Future Available,OH,On Hand
RET-23,PREPACK CREDIT VEND-DEFECTIVE,OHFA,Future Available,OH,On Hand
INV-09,Waiting for coordinating pieces,OHFA,Future Available,OH,On Hand
RET-646,SOFT Biltmore Village - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-520,SOFT CHESTNUT HILL - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-536,SOFT BRIDGEPORT VILLAGE - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-508,SOFT ARBORETUM - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-598,SOFT Rochester Hills - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-526,SOFT KING OF PRUSSIA - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-556,SOFT Chandler Fashion Center - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-550,SOFT Bellevue Square - STOCK RETURN,OHFA,Future Available,OH,On Hand
INV-06,Needs to go to cleaners,OHFA,Future Available,OH,On Hand
RET-548,SOFT Peachtree Parkway - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-606,SOFT Village Pointe - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-66,RECONDITIONED-RETURN TO STOCK,OHFA,Future Available,OH,On Hand
RET-580,SOFT Avenue West Cobb - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-630,SOFT Victoria Gardens - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-516,SOFT CNTRY CLB PLZ - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-586,SOFT Briargate - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-70,DRY CLEANING,OHFA,Future Available,OH,On Hand
RET-530,SOFT SHORT PUMP - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-542,SOFT Bridgewater Commons - STOCK RETURN,OHFA,Future Available,OH,On Hand
INV-999,Restricted - No reason,OHFA,Future Available,OH,On Hand
RET-552,SOFT Crocker Park - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-560,SOFT Shops of Saddle Creek - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-568,SOFT The Shops at Friendly Center - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-596,SOFT Cedar Lodge - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-566,SOFT Blakeney Shopping Center - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-660,SOFT Alderwood Mall - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-574,SOFT Main Street Promenade - STOCK RETURN,OHFA,Future Available,OH,On Hand
RET-518,SOFT COPLEY PLACE - STOCK RETURN,OHFA,Future Available,OH,On Hand
