site_id,site_label,subchnl_id,subchnl_label,chnl_id,chnl_label
CATMAIN,Catalog Main,CATMAIN,Catalog Main,CAT,Catalog
CATPROSP,Catalog Prospect,CATPROSP,Catalog Prospect,CAT,Catalog
CATSALE,Catalog Sale,CATSALE,Catalog Sale,CAT,Catalog
INETMAIN,Internet Main,INETMAIN,Internet Main,INET,Internet
INETOUT,Internet Outlet,INETOUT,Internet Outlet,INET,Internet
140,Avalon Alpharetta,RTLPOS,Retail POS,RTLPOS,Retail POS
137,Greenway Station,RTLPOS,Retail POS,RTLPOS,Retail POS
183,Galleria Edina,RTLPOS,Retail POS,RTLPOS,Retail POS
196,Village at Meridian,RTLPOS,Retail POS,RTLPOS,Retail POS
179,ABQ Uptown,RTLPOS,Retail POS,RTLPOS,Retail POS
184,Mall in Columbia,RTLPOS,Retail POS,RTLPOS,Retail POS
136,Short Pump,RTLPOS,Retail POS,RTLPOS,Retail POS
153,Flatiron Crossing,RTLPOS,Retail POS,RTLPOS,Retail POS
150,Kierland Commons,RTLPOS,Retail POS,RTLPOS,Retail POS
127,Park Meadows,RTLPOS,Retail POS,RTLPOS,Retail POS
151,Shops of Saddle Creek,RTLPOS,Retail POS,RTLPOS,Retail POS
159,Orland Park,RTLPOS,Retail POS,RTLPOS,Retail POS
192,Broadway Plaza,RTLPOS,Retail POS,RTLPOS,Retail POS
202,Streets at Southpoint,RTLPOS,Retail POS,RTLPOS,Retail POS
180,Eastview Mall,RTLPOS,Retail POS,RTLPOS,Retail POS
132,La Cantera,RTLPOS,Retail POS,RTLPOS,Retail POS
201,Alderwood Mall,RTLPOS,Retail POS,RTLPOS,Retail POS
166,Jordan Creek,RTLPOS,Retail POS,RTLPOS,Retail POS
144,Fairfax Corner,RTLPOS,Retail POS,RTLPOS,Retail POS
169,Cedar Lodge,RTLPOS,Retail POS,RTLPOS,Retail POS
173,Paddock Shops,RTLPOS,Retail POS,RTLPOS,Retail POS
160,Arboretum Austin,RTLPOS,Retail POS,RTLPOS,Retail POS
131,Chestnut Hill,RTLPOS,Retail POS,RTLPOS,Retail POS
138,Market Street Lynnfield,RTLPOS,Retail POS,RTLPOS,Retail POS
162,First Colony,RTLPOS,Retail POS,RTLPOS,Retail POS
135,Town & Country Village,RTLPOS,Retail POS,RTLPOS,Retail POS
203,Kingsgate Center,RTLPOS,Retail POS,RTLPOS,Retail POS
